index	word	hiragana	meaning	meaning2	sentence	sentence meaning	group	level	set
1	一つ	ひとつ	one (thing)		それを<b>一つ</b>ください。	Please give me one of those.	JLPT4	1	8
2	二つ	ふたつ	two (things)		ソフトクリームを<b>二つ</b>ください。	Please give me two ice cream cones.	JLPT4	1	3
3	円	えん	yen		カレーライスは700<b>円</b>です。	The curry and rice is 700 yen.	JLPT2	20	1
4	金	かね	money		これはかなり<b>金</b>がかかった。	This cost quite a bit of money.	JLPT2	20	5
6	水曜日	すいようび	Wednesday		<b>水曜日</b>はバイトがあります。	I have a part-time job on Wednesdays.	JLPT4	1	1
8	先	さき	ahead	first	お<b>先</b>にどうぞ。	Please go ahead.	JLPT4	1	6
9	八日	ようか	eight days	8th of the month	<b>八日</b>からイギリスに行きます。	I go to England on the eighth.	JLPT4	1	4
9	する	する	do	make	友達[ともだち]と 一緒[いっしょ]に 宿題[しゅくだい]を<b>した</b>。	I did my homework with my friend.	1k	1	1
12	右	みぎ	right		<b>右</b>のポケットにハンカチが入っています。	There's a handkerchief in my right pocket.	JLPT4	1	4
14	いる	いる	be present	stay	今日[きょう]は 一日中[いちにちじゅう] 家[うち]に<b>いました</b>。	I was at home all day today.	1k	1	2
16	七	なな	seven		バナナが<b>七</b>本あります。	There are seven bananas.	JLPT2	20	5
17	手	て	hand		分かった人は<b>手</b>を上げてください。	Please raise your hand if you understand.	JLPT4	1	6
18	おなか	おなか	stomach		<b>おなか</b>が空きました。	I'm hungry.	JLPT4	1	1
20	なる	なる	become		彼[かれ]は 医者[いしゃ]に<b>なりました</b>。	He became a doctor.	1k 	1	1
20	一日	ついたち	1st of the month		来月の<b>一日</b>は空いていますか。	Are you free on the 1st of next month?	JLPT4	1	6
21	日曜日	にちようび	Sunday		<b>日曜日</b>は海に行きました。	We went to the seaside on Sunday.	JLPT4	1	5
22	七つ	ななつ	seven (things)		この子は今年<b>七つ</b>になります。	Our kid's turning seven this year.	JLPT4	1	2
24	私	わたし	I		<b>私</b>が行きましょう。	Why don't I go.	JLPT2	20	9
24	よう	よう	look like	seem	彼女[かのじょ]は 眠[ねむ]い<b>よう</b>です。	It looks like she's sleepy.	4k	4	10
25	好き	すき	favorite	liked	私はワインが<b>好き</b>です。	I like wine.	JLPT4	1	10
27	一人	ひとり	one	one person	そこには私<b>一人</b>しかいなかった。	I was the only one there.	JLPT4	1	2
28	友達	ともだち	friend	companion	私には<b>友達</b>がたくさんいます。	I have a lot of friends.	JLPT4	1	2
29	帰る	かえる	return	go back	家に<b>帰ろう</b>。	Let's go home.	JLPT4	1	5
30	元気	げんき	healthy	energetic	おかげさまで<b>元気</b>です。	I'm fine, thank you.	JLPT4	1	4
31	天気	てんき	weather		今日はいい<b>天気</b>ですね。	It's nice out today.	JLPT4	1	4
32	少ない	すくない	few	little	今年は雨が<b>少ない</b>です。	There's not much rain this year.	JLPT2	20	6
32	的	まと	object	target	彼[かれ]はいつも 注目[ちゅうもく]の<b> 的[まと]</b>です	He's always the center of attention.	8k	14	2
33	晴れる	はれる	be sunny	clear up	明日は<b>晴れる</b>といいですね。	I hope it'll be sunny tomorrow.	JLPT4	1	1
34	上	うえ	up	above	<b>上</b>を向いて。	Look up.	JLPT4	1	10
36	開く	ひらく	open		32ページを<b>開いて</b>ください。	Please open to page 32.	JLPT3	10	2
37	口	くち	mouth		<b>口</b>を大きく開けてください。	Open wide, please.	JLPT4	1	8
38	閉める	しめる	shut	close	ちゃんとドアを<b>閉めて</b>よ。	Close the door properly.	JLPT4	1	3
39	それ	それ	that	that one	<b>それ</b>はとってもいい 話[はなし]だ。	That's a really nice story.	1k 	1	1
39	時間	じかん	time	hour	今は<b>時間</b>がありません。	I don't have time now.	JLPT4	1	1
40	六日	むいか	six days	6th of the month	<b>六日</b>前に日本に帰ってきました。	I came back to Japan six days ago.	JLPT4	1	9
40	者	もの	person		私[わたし]は 先[さき]ほど 電話[でんわ]した<b> 者[もの]</b>です。	I'm the person who called earlier.	4k	8	7
41	後ろ	うしろ	back	behind	<b>後ろ</b>を向いて。	Turn around.	JLPT0	5	4
41	できる	できる	can do	be good at	彼女[かのじょ]はイタリア 語[ご]が<b>できます</b>。	She can speak Italian.	1k	1	2
42	これ	これ	this	this one	<b>これ</b>をください。	I'll have this please.	1k 	1	1
42	十日	とおか	ten days	10th of the month	<b>十日</b>後に帰ります。	I'll come home in ten days.	JLPT4	1	6
43	午前	ごぜん	morning	a.m.	<b>午前</b>9時のニュースです。	And now for the 9.00 a.m. news.	JLPT4	1	8
45	土曜日	どようび	Saturday		<b>土曜日</b>の夜はクラブに行きます。	I'm going to a club Saturday night.	JLPT4	1	9
46	金曜日	きんようび	Friday		<b>金曜日</b>の夜は友達と出かけます。	I go out with my friends on Friday nights.	JLPT4	1	8
47	月	つき	moon		今夜は<b>月</b>がとてもきれいです。	The moon looks so beautiful tonight.	JLPT2	20	8
48	夜	よる	night (from sunset to sunrise)		きのうの<b>夜</b>は家にいました。	I was at home last night.	JLPT4	1	9
49	食べる	たべる	eat		昨日タイカレーを<b>食べました</b>。	I had Thai curry yesterday.	JLPT4	1	4
50	何	なに	what	which	夕食には<b>何</b>を食べたいですか。	What would you like for supper?	JLPT4	1	3
51	晩	ばん	evening (usually from sunset to bedtime)		<b>晩</b>ご飯は食べましたか。	Have you had dinner?	JLPT4	1	3
52	ご飯	ごはん	cooked rice	meal	私はパンより<b>ご飯</b>が好きだ。	I prefer rice to bread.	JLPT0	5	6
53	三つ	みっつ	three (things)		コップを<b>三つ</b>買いました。	I bought three glasses.	JLPT4	1	10
54	昼	ひる	daytime	midday	私は<b>昼</b>のドラマを毎日見ます。	I watch daytime dramas every day.	JLPT4	1	9
57	男	おとこ	man	male	<b>男</b>の人が私たちに話しかけた。	This guy began talking to us.	JLPT4	1	4
57	ため	ため	sake	purpose	これは 医者[いしゃ]の<b>ため</b>のサイトです。	This is a site for doctors.	1k	1	3
58	今週	こんしゅう	this week		<b>今週</b>は日本語のテストがあります。	There's a Japanese test this week.	JLPT4	1	8
59	そう	そう	so	that way	私[わたし]も<b>そう</b> 思[おも]います。	That's what I think too.	1k	1	1
60	会う	あう	meet		また<b>会いましょう</b>。	Let's meet again.	JLPT4	1	5
61	月曜日	げつようび	Monday		<b>月曜日</b>に会いましょう。	Let's meet on Monday.	JLPT4	1	4
61	居る	おる	be present	stay (humble)	母[はは]は 今[いま]、うちに<b>おりません</b>。	My mother isn't at home now.	4k	4	9
62	昨日	きのう	yesterday		<b>昨日</b>、友達に会った。	I met a friend yesterday.	JLPT4	1	8
63	休む	やすむ	take a day off	take a break	明日、会社を<b>休みます</b>。	I'm off work tomorrow.	JLPT4	1	4
64	今日	きょう	today		<b>今日</b>は仕事がありません。	I have no work today.	JLPT4	1	1
65	木曜日	もくようび	Thursday		<b>木曜日</b>は仕事が休みです。	Thursday is my day off work.	JLPT4	1	6
66	場合	ばあい	situation	case	分からない<b>場合</b>は私に聞いてください。	Please ask me if you don't understand.	JLPT3	10	1
68	駅	えき	railway station		<b>駅</b>はどこですか。	Where's the station?	JLPT4	1	2
69	止める	やめる	stop	give up, abolish	話すのを<b>止めて</b>ください。	Stop talking, please.	JLPT2	20	5
70	歩く	あるく	walk	go on foot	駅まで<b>歩きましょう</b>。	Let's walk to the station.	JLPT4	1	7
71	近く	ちかく	near	close to	駅の<b>近く</b>で食事をした。	I ate near the station.	JLPT4	1	8
73	近い	ちかい	near	soon	駅はここから<b>近い</b>です。	The station is near here.	JLPT4	1	10
74	近く	ちかく	vicinity	nearby	私の家は駅の<b>近く</b>です。	My house is near the station.	JLPT4	1	7
75	全部	ぜんぶ	all	wholly	それ、<b>全部</b>ください。	I'd like all of those, please.	JLPT4	1	4
76	国	くに	country		私の<b>国</b>について少しお話しましょう。	Let me tell you a bit about my country.	JLPT4	1	1
77	漢字	かんじ	character	kanji	<b>漢字</b>は中国から来ました。	Kanji came from China.	JLPT4	1	4
77	また	また	again	also or	明日[あした]、<b>また</b> 来[き]ます。	I'll come again tomorrow.	1k	1	7
78	赤い	あかい	red		<b>赤い</b>バラを買いました。	I bought a red rose.	JLPT4	1	6
80	米	こめ	rice (grain)		日本人はお<b>米</b>が大好きです。	Japanese people love rice.	JLPT3	10	9
81	やる	やる	do	give	一緒[いっしょ]に 宿題[しゅくだい]を<b>やろう</b>。	Let's do our homework together.	1k	1	2
81	やる	やる	give (to an inferior)		犬[いぬ]にえさを<b>やった</b>。	I fed the dog.	1k	1	3
83	作る	つくる	make	create	今、朝ご飯を<b>作っています</b>。	I'm making breakfast now.	JLPT4	1	3
84	使う	つかう	use		このパソコンを<b>使って</b>ください。	Please use this computer.	JLPT4	1	10
85	消す	けす	switch off	turn off	昼間は電気を<b>消して</b>ください。	Please turn the lights off during the day.	JLPT4	1	8
86	閉まる	しまる	be shut	be closed	お店はもう<b>閉まっていました</b>。	The shop had already closed.	JLPT4	1	5
87	前	まえ	front	before	その店の<b>前</b>で会いましょう。	Let's meet in front of the shop.	JLPT4	1	3
87	いい	いい	good	(informal/spoken form)	彼女[かのじょ]は<b>いい</b> 友達[ともだち]です。	She's a good friend of mine.	1k 	1	3
88	店	みせ	shop	store	私はこの<b>店</b>によく来ます。	I come to this store quite often.	JLPT4	1	5
89	部屋	へや	room		私の<b>部屋</b>は2階にあります。	My room is on the second floor.	JLPT4	1	9
90	夏	なつ	summer		私は<b>夏</b>が大好き。	I just love summer.	JLPT4	1	10
91	暑い	あつい	hot	warm (temperature of the air)	今日はとても<b>暑い</b>。	It's very hot today.	JLPT4	1	1
92	熱い	あつい	hot (things	touch)	このスープはとても<b>熱い</b>。	This soup is very hot.	JLPT4	1	7
93	冬	ふゆ	winter		カナダの<b>冬</b>はとても寒いです。	Canada's winters are very cold.	JLPT4	1	9
94	より	より	more	further	これから、<b>より</b> 一層[いっそう] 努力[どりょく]します。	I'll work much harder from now on.	2k	2	10
94	入る	はいる	enter		寒いので中に<b>入って</b>ください。	It's cold so please come inside.	JLPT4	1	7
95	寒い	さむい	cold (temperature of the air)		この部屋は<b>寒い</b>です。	It's cold in this room.	JLPT4	1	9
96	春	はる	spring		今年の<b>春</b>は暖かいね。	It's warm this spring, isn't it.	JLPT4	1	2
97	どう	どう	how	what	あなたは<b>どう</b> 思[おも]いますか。	What do you think?	1k	1	1
